N_unmapped	2254	2254	2254
N_multimapping	539	539	539
N_noFeature	6200	26173	27353
N_ambiguous	11	4	5
WASH5P	0	0	0
FAM138A	0	0	0
FAM138F	0	0	0
OR4F17	0	0	0
FLJ45445	0	0	0
PPAP2C	0	0	0
MIER2	0	0	0
THEG	0	0	0
C2CD4C	0	0	0
SHC2	0	0	0
ODF3L2	0	0	0
MADCAM1	0	0	0
TPGS1	0	0	0
CDC34	0	0	0
GZMM	0	0	0
BSG	0	0	0
HCN2	0	0	0
POLRMT	0	0	0
FGF22	0	0	0
RNF126	0	0	0
FSTL3	0	0	0
PRSS57	0	0	0
PALM	0	0	0
C19orf21	0	0	0
PTBP1	0	0	0
MIR4745	0	0	0
LPPR3	0	0	0
MIR3187	0	0	0
AZU1	0	0	0
PRTN3	0	0	0
ELANE	0	0	0
CFD	0	0	0
MED16	0	0	0
R3HDM4	0	0	0
KISS1R	0	0	0
ARID3A	0	0	0
WDR18	0	0	0
GRIN3B	0	0	0
C19orf6	0	0	0
CNN2	0	0	0
ABCA7	0	0	0
HMHA1	0	0	0
POLR2E	0	0	0
GPX4	0	0	0
SBNO2	0	0	0
STK11	0	0	0
C19orf26	0	0	0
ATP5D	0	0	0
MIDN	0	0	0
CIRBP-AS1	0	0	0
CIRBP	0	0	0
C19orf24	0	0	0
EFNA2	0	0	0
MUM1	0	0	0
NDUFS7	0	0	0
GAMT	0	0	0
DAZAP1	0	0	0
RPS15	0	0	0
APC2	0	0	0
C19orf25	0	0	0
PCSK4	0	0	0
REEP6	0	0	0
ADAMTSL5	0	0	0
PLK5	0	0	0
MEX3D	0	0	0
MBD3	0	0	0
UQCR11	0	0	0
TCF3	0	0	0
ONECUT3	0	0	0
ATP8B3	0	0	0
REXO1	0	0	0
MIR1909	0	0	0
LOC100288123	0	0	0
KLF16	0	0	0
FAM108A1	0	0	0
SCAMP4	0	0	0
ADAT3	0	0	0
CSNK1G2	0	0	0
CSNK1G2-AS1	0	0	0
BTBD2	0	0	0
MKNK2	0	0	0
MOB3A	0	0	0
IZUMO4	0	0	0
AP3D1	0	0	0
DOT1L	0	0	0
PLEKHJ1	0	0	0
MIR1227	0	0	0
SF3A2	0	0	0
AMH	0	0	0
MIR4321	0	0	0
JSRP1	0	0	0
OAZ1	5	5	0
C19orf35	0	0	0
LINGO3	0	0	0
LSM7	0	0	0
SPPL2B	0	0	0
TMPRSS9	0	0	0
TIMM13	0	0	0
LMNB2	0	0	0
GADD45B	0	0	0
GNG7	0	0	0
DIRAS1	0	0	0
SLC39A3	0	0	0
SGTA	0	0	0
THOP1	0	0	0
ZNF554	0	0	0
ZNF555	0	0	0
ZNF556	0	0	0
ZNF57	0	0	0
ZNF77	0	0	0
TLE6	0	0	0
TLE2	3064	1530	1534
AES	22813	12009	10806
GNA11	1242	652	590
GNA15	342	182	160
S1PR4	683	326	357
NCLN	2908	1422	1486
CELF5	0	1	0
NFIC	9501	4737	4765
C19orf77	49	33	16
DOHH	505	250	255
FZR1	0	0	0
MFSD12	0	0	0
C19orf71	0	0	0
HMG20B	0	0	0
GIPC3	0	0	0
TBXA2R	0	0	0
C19orf29-AS1	0	0	0
C19orf29	0	0	0
PIP5K1C	0	0	0
TJP3	0	0	0
APBA3	0	0	0
MRPL54	0	0	0
RAX2	0	0	0
MATK	0	0	0
ZFR2	0	0	0
ATCAY	0	0	0
ITGB1BP3	0	0	0
DAPK3	0	0	0
MIR637	0	0	0
EEF2	0	0	0
SNORD37	0	0	0
PIAS4	0	0	0
ZBTB7A	0	0	0
MAP2K2	0	0	0
CREB3L3	0	0	0
SIRT6	0	0	0
ANKRD24	0	0	0
EBI3	0	0	0
CCDC94	0	0	0
SHD	0	0	0
TMIGD2	0	0	0
FSD1	0	0	0
STAP2	0	0	0
MPND	0	0	0
SH3GL1	0	0	0
CHAF1A	0	0	0
UBXN6	0	0	0
MIR4746	0	0	0
HDGFRP2	0	0	0
PLIN4	0	0	0
PLIN5	0	0	0
LRG1	0	0	0
SEMA6B	0	0	0
TNFAIP8L1	0	0	0
C19orf10	0	0	0
DPP9	0	0	0
LOC100131094	0	0	0
