21210
0	943	0
5395	5548	944
9977	10015	1098
0	563	0
666	870	564
1110	1470	769
0	563	0
666	870	564
1110	1470	769
0	917	0
0	4646	0
4740	4797	4647
5025	5193	4705
0	493	0
1090	1266	494
1708	1765	671
6430	6707	729
6976	7127	1007
9908	10125	1159
0	493	0
1090	1266	494
1708	1765	671
6430	6707	729
6976	7127	1007
10241	10391	1159
0	493	0
1090	1266	494
1708	1765	671
6430	6707	729
6976	7127	1007
10282	10391	1159
0	1136	0
1544	1961	1137
3002	3090	1555
3226	3350	1644
6270	6364	1769
6616	6697	1864
7917	8068	1946
20060	20129	2098
20932	21023	2168
21558	21681	2260
22289	22414	2384
28825	28967	2510
30508	30598	2653
39199	39216	2744
0	369	0
5008	5167	370
9148	9265	530
10574	10643	648
11413	11474	718
12242	12364	780
13606	13956	903
0	369	0
5008	5167	370
9148	9265	530
10574	10643	648
11413	11474	718
11883	11954	780
12242	12364	852
13606	13956	975
0	2958	0
3563	3727	2959
0	739	0
2340	2473	740
5563	5873	874
8514	8648	1185
14101	14164	1320
18126	18282	1384
19582	19708	1541
19797	19848	1668
20047	20100	1720
22135	22254	1774
22387	22447	1894
24279	24349	1955
43946	44413	2026
0	1018	0
4303	4416	1019
9048	9155	1133
11275	11637	1241
0	61	0
1343	1627	62
2006	2335	347
8255	8853	677
0	61	0
1343	1627	62
2006	2335	347
5179	5439	677
8255	8853	938
0	347	0
11392	12157	348
0	375	0
4104	4190	376
4510	4607	463
5280	5414	561
9606	10354	696
0	99	0
3253	3409	100
4515	4650	257
4895	5158	393
5603	5892	657
0	254	0
9054	9136	255
9321	9457	338
9990	10266	475
10981	11005	752
11189	11257	777
11425	12168	846
0	164	0
6963	7119	165
7842	7924	322
8109	8245	405
8778	9054	542
9769	9793	819
9977	10045	844
10213	10956	913
0	164	0
5237	5584	165
6963	7119	513
7842	7924	670
8109	8245	753
8778	9054	890
9769	9793	1167
9977	10045	1192
10213	10956	1261
0	684	0
13651	14074	685
15168	15329	1109
18071	18289	1271
20366	20512	1490
23355	23595	1637
23959	24123	1878
25902	27266	2043
0	100	0
196	257	101
347	432	163
554	626	249
1265	1363	322
1482	1537	421
1774	1887	477
1987	2073	591
2363	2542	678
2735	2857	858
3142	3264	981
3835	4623	1104
4926	5150	1893
5359	5529	2118
5598	5762	2289
6231	6380	2454
7496	7682	2604
7901	8031	2791
12317	12945	2922
15611	15715	3551
16202	16345	3656
0	213	0
3309	3412	214
3484	3678	318
0	751	0
846	961	752
1356	1449	868
2153	2222	962
2708	2770	1032
4085	4329	1095
4707	4770	1340
5300	5358	1404
15521	15707	1463
0	137	0
1403	1588	138
3885	4100	324
4944	5171	540
5261	7003	768
0	376	0
1379	1642	377
6312	6456	641
9268	9424	786
9806	9915	943
0	198	0
17185	17236	199
18055	18135	251
18611	18741	332
22142	22292	463
25220	25241	614
27066	27125	636
37332	39377	696
0	198	0
17185	17236	199
18055	18135	251
18611	18741	332
22142	22292	463
25220	25241	614
27066	27125	636
31399	31530	696
37332	39377	828
0	25	0
5744	7580	26
8763	8893	1863
10479	10517	1994
12355	13172	2033
0	113	0
2021	2051	114
6169	6244	145
6644	6816	221
6900	7046	394
7140	7310	541
7437	7547	712
7621	7795	823
8121	8177	998
9016	9164	1055
10477	10510	1204
10968	11060	1238
11154	11370	1331
13151	13228	1548
13302	14935	1626
0	113	0
2021	2051	114
6169	6244	145
6644	6816	221
6900	7046	394
7140	7310	541
7437	7547	712
7621	7795	823
8100	8177	998
9016	9164	1076
10477	10510	1225
10968	11060	1259
11154	11370	1352
13151	13228	1569
13302	14935	1647
0	113	0
2021	2051	114
10477	10510	145
10968	11060	179
11154	11370	272
13151	13228	489
13302	14935	567
0	113	0
2021	2051	114
6169	6244	145
6644	6816	221
6900	7046	394
7140	7310	541
7437	7547	712
7621	7795	823
9016	9164	998
10477	10510	1147
10968	11060	1181
11154	11370	1274
13151	13228	1491
13302	14935	1569
0	91	0
0	1377	0
1916	2231	1378
2368	2563	1694
2668	2809	1890
3148	3333	2032
8967	9067	2218
9397	9434	2319
0	69	0
0	73	0
399	555	74
1731	1875	231
2877	3110	376
3885	4186	610
0	84	0
2476	2641	85
2908	3049	251
5162	5392	393
6814	7190	624
0	104	0
585	741	105
971	1112	262
3273	3503	404
3667	3955	635
0	79	0
952	1108	80
1196	1340	237
2034	2291	382
3427	3945	640
0	289	0
454	537	290
901	984	374
3075	3291	458
3964	4156	675
5487	5620	868
7282	7492	1002
9012	9218	1213
11975	12186	1420
13597	13752	1632
16941	17046	1788
17808	18239	1894
21676	21845	2326
22175	22282	2496
23001	23187	2604
25124	25256	2791
0	1037	0
2937	2992	1038
3098	3183	1094
3558	3643	1180
4326	4449	1266
4919	5043	1390
5473	5627	1515
16584	16722	1670
0	404	0
1202	1326	405
2148	2283	530
2532	2764	666
2948	3673	899
0	22	0
3225	3859	23
6381	6705	658
34055	34127	983
38211	38394	1056
38796	39043	1240
40535	40831	1488
42368	42466	1785
45841	46766	1884
0	235	0
1537	1647	236
5434	5567	347
5895	6036	481
6524	6667	623
6753	6817	767
6899	7023	832
7627	7793	957
9691	9759	1124
9884	10241	1193
0	425	0
2692	3284	426
4083	5115	1019
7190	7335	2052
7418	7533	2198
7702	7853	2314
8180	8344	2466
8419	8489	2631
8735	9286	2702
0	1244	0
1716	1848	1245
1929	2012	1378
2090	2147	1462
2241	2341	1520
2415	2537	1621
2812	2922	1744
3590	3689	1855
4541	4822	1955
11121	11491	2237
0	1244	0
1445	1544	1245
1716	1848	1345
1929	2012	1478
2090	2147	1562
2241	2341	1620
2415	2537	1721
2812	2922	1844
3590	3689	1955
4541	4822	2055
11121	11491	2337
0	425	0
4772	4893	426
6093	6159	548
6260	6397	615
10117	10263	753
11326	12766	900
0	425	0
4772	4893	426
6093	6159	548
6260	6397	615
9831	9947	753
10117	10263	870
11326	12766	1017
0	93	0
1122	1324	94
1407	1500	297
1728	1869	391
1961	2073	533
2212	2294	646
2643	2723	729
2938	3148	810
3231	3370	1021
3622	3738	1161
4474	4641	1278
4899	5128	1446
6127	6303	1676
6699	6921	1853
7054	7275	2076
7350	7551	2298
8792	8902	2500
9163	9334	2611
10818	10949	2783
11052	11191	2915
11346	11483	3055
11839	12023	3193
12111	12183	3378
13226	13428	3451
13685	13733	3654
13903	14007	3703
14090	14238	3808
14467	14591	3957
14677	14775	4082
14994	15248	4181
15804	15836	4436
15963	16140	4469
16227	16396	4647
16804	16981	4817
17211	17326	4995
17812	17956	5111
